Campanha,Dia,Cidade (local geográfico),Tipo de campanha,Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Vitória de Santo Antão/PE-Novembro,2021-11-10,Vitória de Santo Antão,App,BRL,37,580,"0,06","0,6","22,21",14,"1,59","0,38"
[download]Manutencao_Novembro,2021-11-30,Itabaianinha,App,BRL,0,15,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Juazeiro,App,BRL,3,29,"0,10","0,71","2,13",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Bezerros,App,BRL,2,71,"0,03","0,34","0,68",1,"0,68","0,50"
[download]Manutencao_Novembro,2021-11-29,Monteiro,App,BRL,1,22,"0,05","0,12","0,12",1,"0,12","1,00"
[download]Manutencao_Novembro,2021-11-13,Monteiro,App,BRL,1,7,"0,14","0,15","0,15",1,"0,15","1,00"
[download]Manutencao_Novembro,2021-11-25,Feira de Santana,App,BRL,4,482,"0,01","0,2","0,82",1,"0,82","0,25"
[download]Manutencao_Novembro,2021-11-12,Santa Rita,App,BRL,1,66,"0,02","5,35","5,35",1,"5,35","1,00"
[download]Manutencao_Novembro,2021-11-17,Embu das Artes,App,BRL,3,111,"0,03","0,65","1,95",2,"0,98","0,67"
[download]Manutencao_Novembro,2021-11-13,Vinhedo,App,BRL,1,50,"0,02","0,18","0,18",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Santo Antônio de Jesus,App,BRL,3,22,"0,14","0,66","1,97",2,"0,99","0,67"
[download]Manutencao_Novembro,2021-11-18,Araras,App,BRL,0,95,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Tucuruí,App,BRL,0,39,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Cabo de Santo Agostinho,App,BRL,2,171,"0,01","0,02","0,03",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Patos,App,BRL,15,139,"0,11","0,25","3,72",11,"0,34","0,73"
[download]Manutencao_Novembro,2021-11-22,Jequié,App,BRL,2,163,"0,01","0,05","0,09",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Paudalho,App,BRL,0,6,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Guaratinguetá,App,BRL,5,187,"0,03","0,16","0,82",1,"0,82","0,20"
[download]Manutencao_Novembro,2021-11-26,Tucuruí,App,BRL,1,34,"0,03","0,14","0,14",1,"0,14","1,00"
[download]Manutencao_Novembro,2021-11-23,Eunápolis,App,BRL,7,86,"0,08","0,16","1,15",3,"0,38","0,43"
[download]Manutencao_Novembro,2021-11-24,Rio Largo,App,BRL,2,88,"0,02","0,1","0,21",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Catu,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]BELO JARDIM/PE-Novembro,2021-11-04,Belo Jardim,App,BRL,58,1159,"0,05","0,64","37,09",18,"2,06","0,31"
[download]Abreu e Lima/PE-Novembro,2021-11-19,Abreu e Lima,App,BRL,18,943,"0,02","1,07","19,21",5,"3,84","0,28"
[download]Manutencao_Novembro,2021-11-21,Moreno,App,BRL,0,13,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Açu,App,BRL,0,4,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Cambé,App,BRL,1,26,"0,04","0,11","0,11",1,"0,11","1,00"
[download]Manutencao_Novembro,2021-11-24,Itabaianinha,App,BRL,0,30,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Santo Antônio de Jesus,App,BRL,5,87,"0,06","0,42","2,08",5,"0,42","1,00"
[download]Manutencao_Novembro,2021-11-17,Patos,App,BRL,8,74,"0,11","0,53","4,22",5,"0,84","0,63"
[download]Manutencao_Novembro,2021-11-21,Ipirá,App,BRL,5,12,"0,42","0,62","3,1",5,"0,62","1,00"
[download]Manutencao_Novembro,2021-11-26,Igarassu,App,BRL,2,99,"0,02","0,06","0,13",2,"0,06","1,00"
[download]Manutencao_Novembro,2021-11-27,Monteiro,App,BRL,0,15,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Teixeira de Freitas,App,BRL,0,20,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Seabra,App,BRL,2,6,"0,33","0,73","1,46",2,"0,73","1,00"
[download]Manutencao_Novembro,2021-11-18,Senador Canedo,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Caicó,App,BRL,7,36,"0,19","0,13","0,92",4,"0,23","0,57"
[download]Manutencao_Novembro,2021-11-29,Teixeira de Freitas,App,BRL,3,193,"0,02","0,11","0,33",1,"0,33","0,33"
[download]Manutencao_Novembro,2021-11-30,Teixeira de Freitas,App,BRL,5,108,"0,05","0,09","0,43",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Moreno,App,BRL,0,10,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Açu,App,BRL,0,5,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-29,Paulista,App,BRL,3,453,"0,01","0,16","0,48",1,"0,48","0,33"
[download]Manutencao_Novembro,2021-11-19,Espírito Santo do Pinhal,App,BRL,0,25,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Pirassununga,App,BRL,3,39,"0,08","0,34","1,02",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Santa Rita,App,BRL,2,220,"0,01","0,17","0,35",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Arapiraca,App,BRL,14,313,"0,04","0,19","2,63",5,"0,53","0,36"
[download]Manutencao_Novembro,2021-11-20,Arapiraca,App,BRL,10,244,"0,04","0,24","2,37",4,"0,59","0,40"
[download]Manutencao_Novembro,2021-11-17,Nossa Senhora do Socorro,App,BRL,3,130,"0,02","0,16","0,47",1,"0,47","0,33"
[download]Manutencao_Novembro,2021-11-26,Nossa Senhora do Socorro,App,BRL,4,283,"0,01","0,08","0,3",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Jequié,App,BRL,4,89,"0,04","0,29","1,16",2,"0,58","0,50"
[download]Manutencao_Novembro,2021-11-23,Candeias,App,BRL,2,43,"0,05","0,6","1,2",2,"0,6","1,00"
[download]Manutencao_Novembro,2021-11-14,Atalaia,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-29,Jacobina,App,BRL,6,56,"0,11","0,42","2,55",3,"0,85","0,50"
[download]Manutencao_Novembro,2021-11-19,Santana do Ipanema,App,BRL,3,12,"0,25","0,86","2,57",2,"1,29","0,67"
